date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-09-04,TAIEX,7455297262,450547881333,24235.27,24389.35,24168.16,24179.85,79.55,3277050
2025-09-05,TAIEX,6973379276,426569974111,24244.26,24494.58,24244.26,24494.58,314.73,3089868
2025-09-08,TAIEX,7768998687,443185374596,24610.85,24729.96,24547.38,24547.38,52.8,3241448
2025-09-09,TAIEX,8091742979,512534389842,24650.46,24880.07,24650.46,24855.18,307.8,3429591
2025-09-10,TAIEX,8693632992,540470187649,25032.88,25272.23,25032.88,25192.59,337.41,3674708
2025-09-11,TAIEX,9553641157,609494103234,25509.3,25541.44,25174.13,25215.71,23.12,4224556
2025-09-12,TAIEX,7830621434,495051339127,25349.7,25492.28,25349.7,25474.64,258.93,3399552
2025-09-15,TAIEX,6958333955,407891369036,25494.1,25519.94,25284.17,25357.16,-117.48,3179132
2025-09-16,TAIEX,7560459055,455107630117,25335.46,25664.81,25335.46,25629.64,272.48,3183247
2025-09-17,TAIEX,7849906030,439687060953,25543.91,25632.07,25422.96,25438.25,-191.39,3344507
2025-09-18,TAIEX,8339290249,467374300986,25543.17,25769.36,25475.25,25769.36,331.11,3371322
2025-09-19,TAIEX,9787714693,619694769912,25794.66,25864.01,25578.37,25578.37,-190.99,3620290
2025-09-22,TAIEX,7847993700,482061403631,25599.6,25887.69,25599.6,25880.6,302.23,3364352
2025-09-23,TAIEX,8950246446,547004847440,26121.0,26307.3,26041.69,26247.37,366.77,3683215
2025-09-24,TAIEX,7897848080,515187636594,26389.16,26394.03,26045.47,26196.73,-50.64,3460483
2025-09-25,TAIEX,8846470892,503204151623,26067.97,26247.85,26023.85,26023.85,-172.88,3716116
2025-09-26,TAIEX,8334201118,500052396638,25998.28,25998.28,25469.04,25580.32,-443.53,4019744
2025-09-30,TAIEX,6699602406,455296213373,25738.31,25975.84,25738.31,25820.54,240.22,2736444
2025-10-01,TAIEX,7679791251,468840061902,26078.29,26325.79,25982.91,25982.91,162.37,3129297
2025-10-02,TAIEX,8085314896,506683446386,26392.31,26489.79,26330.25,26378.39,395.48,3240734
2025-10-03,TAIEX,7784825692,480095576070,26435.1,26761.06,26410.03,26761.06,382.67,3218063
2025-10-07,TAIEX,9348656371,575780610445,27029.28,27301.42,27017.08,27211.95,450.89,3811647
2025-10-08,TAIEX,8261189883,471275287964,26999.82,27110.43,26883.99,27063.68,-148.27,3551145
2025-10-09,TAIEX,9444331803,582670484489,27301.61,27463.12,27253.07,27301.92,238.24,3900659
2025-10-13,TAIEX,10191083804,608460235868,26762.6,26965.72,26470.44,26923.42,-378.5,4675496
2025-10-14,TAIEX,12066540173,709086353790,27282.1,27507.16,26764.06,26793.15,-130.27,5032547
2025-10-15,TAIEX,8387861014,521429411299,26911.05,27275.71,26773.15,27275.71,482.56,3394353
2025-10-16,TAIEX,9035460141,565481652363,27337.32,27732.78,27337.32,27647.87,372.16,3459021
2025-10-17,TAIEX,8962849575,556452817043,27399.91,27513.09,27302.37,27302.37,-345.5,3811384
2025-10-20,TAIEX,8045886081,498961206376,27480.44,27768.27,27412.45,27688.63,386.26,3374485
2025-10-21,TAIEX,8507303277,528880140832,27742.55,27969.05,27742.55,27752.41,63.78,3656829
2025-10-22,TAIEX,7835590935,463157561102,27614.11,27725.83,27490.89,27648.91,-103.5,3409615
2025-10-23,TAIEX,7318554768,434561455546,27457.07,27586.85,27371.67,27532.26,-116.65,3223519
2025-10-27,TAIEX,9337097751,564293629882,28029.88,28196.33,27993.63,27993.63,461.37,3731394
2025-10-28,TAIEX,8579810711,555663566461,28041.01,28087.93,27885.62,27949.11,-44.52,3915558
2025-10-29,TAIEX,9076231278,594219629472,28157.91,28395.31,28139.65,28294.74,345.63,3840769
2025-10-30,TAIEX,9446378341,633558030252,28350.24,28527.68,28116.6,28287.53,-7.21,4261236
2025-10-31,TAIEX,8339995492,576144513446,28280.47,28489.76,28233.35,28233.35,-54.18,3685497
2025-11-03,TAIEX,8299689369,581496914983,28253.53,28494.99,28150.45,28334.59,101.24,3801445
